City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Flin Flon,CA,2021-05-25 22:32:36,54.7682,-101.865,33.64,75,90,16.31
68,Olinda,BR,2021-05-25 22:35:58,-8.0089,-34.8553,78.53,69,40,9.4
69,Ponta Do Sol,PT,2021-05-25 22:35:59,32.6667,-17.1,66.0,54,69,6.78
70,Ribeira Grande,PT,2021-05-25 22:35:59,38.5167,-28.7,64.51,92,100,17.6
71,Bismarck,US,2021-05-25 22:32:36,46.8083,-100.7837,66.04,61,90,27.63
72,Taloqan,AF,2021-05-25 22:36:00,36.7361,69.5345,69.71,30,1,6.29
73,Kundiawa,PG,2021-05-25 22:36:00,-6.0167,144.9667,69.08,86,100,2.19
74,Port Alfred,ZA,2021-05-25 22:36:01,-33.5906,26.891,64.27,88,71,13.6
75,Cockburn Town,TC,2021-05-25 22:36:01,21.4612,-71.1419,80.56,69,40,13.8
76,New Norfolk,AU,2021-05-25 22:36:02,-42.7826,147.0587,50.88,73,68,3.0
77,Cape Town,ZA,2021-05-25 22:36:02,-33.9258,18.4232,58.12,82,0,1.99
78,Diamantino,BR,2021-05-25 22:36:03,-14.4086,-56.4461,78.37,62,38,2.42
79,Talnakh,RU,2021-05-25 22:31:54,69.4865,88.3972,21.97,95,53,11.63
80,Novo Cruzeiro,BR,2021-05-25 22:36:04,-17.4681,-41.8753,66.61,93,90,5.21
81,Barreirinha,BR,2021-05-25 22:36:04,-2.7933,-57.07,79.83,79,83,3.44
82,Kushmurun,KZ,2021-05-25 22:36:05,52.4503,64.6311,75.4,33,5,8.3
83,Kodiak,US,2021-05-25 22:31:46,57.79,-152.4072,54.91,50,1,6.91
84,Victoria,HK,2021-05-25 22:32:27,22.2855,114.1577,85.32,90,78,1.99
85,Saratovskaya,RU,2021-05-25 22:36:06,44.7103,39.2244,57.78,95,2,2.89
86,Pochutla,MX,2021-05-25 22:36:06,15.7432,-96.4661,88.65,57,99,5.14
87,Saint-Philippe,RE,2021-05-25 22:36:07,-21.3585,55.7679,72.95,87,49,8.23
88,Panara,IN,2021-05-25 22:36:07,22.0667,78.55,80.04,19,100,4.9
89,Yeppoon,AU,2021-05-25 22:36:08,-23.1333,150.7333,65.98,70,1,8.48
90,Namibe,AO,2021-05-25 22:36:08,-15.1961,12.1522,74.17,68,0,2.62
91,Shakhtinsk,KZ,2021-05-25 22:36:09,49.71,72.5872,54.16,37,1,5.48
92,Alice Springs,AU,2021-05-25 22:36:09,-23.7,133.8833,49.55,46,38,13.67
93,Belozerskoye,RU,2021-05-25 22:36:10,55.8214,65.5842,70.11,43,54,7.23
94,Laguna,US,2021-05-25 22:31:59,38.421,-121.4238,87.46,26,1,4.0
95,Leningradskiy,RU,2021-05-25 22:36:11,69.3833,178.4167,34.83,89,82,10.0
96,Souillac,MU,2021-05-25 22:36:11,-20.5167,57.5167,71.98,88,20,8.99
97,Pisco,PE,2021-05-25 22:34:36,-13.7,-76.2167,66.25,88,75,6.91
98,Provideniya,RU,2021-05-25 22:36:12,64.3833,-173.3,46.51,57,0,15.66
99,Kaspiysk,RU,2021-05-25 22:31:38,42.8816,47.6392,66.38,72,75,13.42
100,Carnot,CF,2021-05-25 22:36:13,4.9409,15.8665,73.65,77,100,1.72
101,Dingzhou,CN,2021-05-25 22:36:13,38.5131,114.9956,62.71,24,99,11.68
102,Bathsheba,BB,2021-05-25 22:36:13,13.2167,-59.5167,81.21,61,20,12.57
103,Coquimbo,CL,2021-05-25 22:33:16,-29.9533,-71.3436,58.73,77,0,4.99
104,Altamira,BR,2021-05-25 22:31:21,-3.2033,-52.2064,79.81,74,53,1.48
105,Kruisfontein,ZA,2021-05-25 22:36:14,-34.0033,24.7314,55.89,94,77,5.91
106,Lins,BR,2021-05-25 22:34:26,-21.6786,-49.7425,64.24,32,90,6.44
107,Rio Gallegos,AR,2021-05-25 22:36:15,-51.6226,-69.2181,37.45,70,0,17.27
108,Chokwe,MZ,2021-05-25 22:36:16,-24.5333,32.9833,58.89,70,35,5.46
109,Lebu,CL,2021-05-25 22:31:23,-37.6167,-73.65,55.51,87,93,1.32
110,Chiredzi,ZW,2021-05-25 22:36:17,-21.05,31.6667,57.04,56,0,3.76
111,Karatuzskoye,RU,2021-05-25 22:36:18,53.6072,92.8667,54.75,97,100,4.45
112,Clyde River,CA,2021-05-25 22:36:18,70.4692,-68.5914,26.83,93,100,23.02
113,Teya,RU,2021-05-25 22:36:19,60.3778,92.6267,33.3,62,11,8.9
114,Xuanzhou,CN,2021-05-25 22:36:19,30.9525,118.7553,66.51,92,100,9.46
115,Port Lincoln,AU,2021-05-25 22:36:20,-34.7333,135.8667,57.15,61,61,12.53
